ConsecutivoOP,ConsecPedido,Cliente,Producto,NombProducto,OCCliente,Actividad,RecMAQ,RecHOM,SecAct,FechEstInicil,estado,TipoConsecutivo,Fecha de visita,Empresa,Planta,País,Ciudad,Tipo de equipo,Pedido,Material,Causa de desgaste,"Si escogió otros, ¿cuál?",Escoja el desgaste donde se presenta,Tipo de cadena,Referencia cadena,Medida referencia de control desgaste nueva en mm (CADENA),Medida referencia control de desgaste actual en mm (CADENA),Porcentaje de elongación actual % (CADENA),Porcentaje de elongación máx % (CADENA),Proyección en horas de operación restantes (H) (CADENA),Medida sin desgaste en mm (BUJE),Medida actual en mm1 (BUJE),Porcentaje de desgaste actual % (BUJE),Medida sin desgaste en mm1 (PASADOR),Medida actual en mm (PASADOR),Porcentaje de desgaste actual % (PASADOR),Medida sin desgaste en mm2 (RODILLO),Medida actual en mm2 (RODILLO),Porcentaje de desgaste actual % (RODILLO),Altura de la platina en mm,Medida actual de la platina en mm (PLATINA),Porcentaje de desgaste actual % (PLATINA),Paso en mm,Cantidad de pasos,No conformidad,Porcentaje de no conformidad,Tiempo hasta falla (Dias)
67131,27380,860009808,30321162,CADENA,E-MAIL 02/11/2021,EMPA,BANCO DE TRABAJO DESPACHO,PRODUCTO TERMINADO,8,2021-11-04,FI,FBORP,2022-12-05,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongación prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,350.0,349.0,0.286,250.0,6.0,Desgaste,0.286,396
67132,27380,860009808,30321162A,PLATINA,E-MAIL 02/11/2021,CORT2,OXICORTE Y PLASMA,CORTAR,1,2021-11-04,FI,FBORP,2022-12-05,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongación prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,350.0,349.0,0.286,250.0,6.0,Desgaste,0.286,396
67140,27380,860009808,30321162I,PLATINA,E-MAIL 02/11/2021,CORT2,OXICORTE Y PLASMA,CORTAR,1,2021-11-04,FI,FBORP,2022-12-05,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongación prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,350.0,349.0,0.286,250.0,6.0,Desgaste,0.286,396
67142,27380,860009808,30321162K,PLATINA,E-MAIL 02/11/2021,ARMAR,SOLDADORES GMAW,SOLDADURA,1,2021-11-04,FI,FBORP,2022-12-05,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongación prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,350.0,349.0,0.286,250.0,6.0,Desgaste,0.286,396
67141,27380,860009808,30321162J,PLATINA,E-MAIL 02/11/2021,LIMP1,BANCO DE TRABAJO SOLDADURA,SOLDADURA,3,2021-11-04,FI,FBORP,2022-12-05,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongación prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,350.0,349.0,0.286,250.0,6.0,Desgaste,0.286,396
68007,27587,CAP821208LQ3,PD0001788E,BUJE,8400004593,CORT,MEGAS,CORTAR,1,2022-01-06,CE,FBORP,2024-06-07,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Elevador cangilones,27587,"PUZOLANA, CALIZA",Cavitación seca,MAL ESTADO RUEDA MOTRIZ Y TENSOR,Buje cadena,"CDNA ELEVADOR FB 994-K443-C2-P7""",FB 994,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,63.5,62.8,1.1,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Desgaste,1.1,883
68006,27587,CAP821208LQ3,PD0001788D,PASADOR,8400004593,CORT,MEGAS,CORTAR,1,2022-01-06,FI,FBORP,2024-06-07,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Elevador cangilones,27587,"PUZOLANA, CALIZA",Cavitación seca,MAL ESTADO RUEDA MOTRIZ Y TENSOR,Buje cadena,"CDNA ELEVADOR FB 994-K443-C2-P7""",FB 994,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,63.5,62.8,1.1,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Desgaste,1.1,883
68003,27587,CAP821208LQ3,PD0001788,CADENA,8400004593,INSP,BANCO DE TRABAJO CALIDAD,CALIDAD,8,2022-01-06,FI,FBORP,2024-06-07,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Elevador cangilones,27587,"PUZOLANA, CALIZA",Cavitación seca,MAL ESTADO RUEDA MOTRIZ Y TENSOR,Buje cadena,"CDNA ELEVADOR FB 994-K443-C2-P7""",FB 994,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,63.5,62.8,1.1,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Desgaste,1.1,883
58950,24775,900164755,7100010-A6,RODILLO,4500687880,CORT,MEGAS,CORTAR,1,2020-02-04,FI,FBORP,2022-10-13,ARGOS,ZONA FRANCA,COLOMBIA,CARTAGENA,Reclamador y apilador,24775,CORRECTORES,Otros,TIEMPO DE TRABAJO,Rodillo;Platina Externa;Platina Interna,CDNA RECLAM. ADITIVOS PASO 315,FU9,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,110.0,106.7,3.09,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Desgaste,3.09,982
77790,30028,CAP821208LQ3,30607413,CADENA,8400005586,EMPA,BANCO DE TRABAJO DESPACHO,PRODUCTO TERMINADO,6,2023-08-16,FI,FBORP,2024-05-20,HOLCIM,MERIDA,MEXICO,MERIDA,Elevador cangilones,30028,CLINKER,Otros,FALTA DE COMPONENTE (ARANDELAS TOPE),Pasador cadena,CDNA ELEVADOR FB AU06.3 C2 P7,FB AU06.3,236.5,236.8,0.14,3.3,29524.0,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Elongación,0.14,278
77791,30028,CAP821208LQ3,30607413A,BUJE,8400005586,CORT,MEGAS,CORTAR,1,2023-08-16,FI,FBORP,2024-05-20,HOLCIM,MERIDA,MEXICO,MERIDA,Elevador cangilones,30028,CLINKER,Otros,FALTA DE COMPONENTE (ARANDELAS TOPE),Pasador cadena,CDNA ELEVADOR FB AU06.3 C2 P7,FB AU06.3,236.5,236.8,0.14,3.3,29524.0,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Elongación,0.14,278
74456,28914,CAP821208LQ3,30392656,CADENA,8400005086,EMPA,BANCO DE TRABAJO DESPACHO,PRODUCTO TERMINADO,8,2023-01-25,FI,FBORP,2024-06-07,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Tansportador de tablilla,28914,CLINKER,Otros,SPROCKET MOTRIZ EN MAL ESTADO,Platina Interna,CDNA FB TRANS AU8076-C5-P250,FB 8076 ,326.0,326.6,0.18,1.6,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Elongación,0.18,499
74458,28914,CAP821208LQ3,30392656B,PASADOR,8400005086,CORT,MEGAS,CORTAR,1,2023-01-25,FI,FBORP,2024-06-07,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Tansportador de tablilla,28914,CLINKER,Otros,SPROCKET MOTRIZ EN MAL ESTADO,Platina Interna,CDNA FB TRANS AU8076-C5-P250,FB 8076 ,326.0,326.6,0.18,1.6,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Elongación,0.18,499
74457,28914,CAP821208LQ3,30392656A,BUJE,8400005086,CORT,MEGAS,CORTAR,1,2023-01-25,FI,FBORP,2024-06-07,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Tansportador de tablilla,28914,CLINKER,Otros,SPROCKET MOTRIZ EN MAL ESTADO,Platina Interna,CDNA FB TRANS AU8076-C5-P250,FB 8076 ,326.0,326.6,0.18,1.6,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Elongación,0.18,499
67742,27553,900484906,PD0001998-1H,RODILLO,"3300292911,,",CORT,MEGAS,CORTAR,1,2021-12-21,FI,FBORP,2022-09-23,MANUELITA,PALMAR DE ALTAMIRA,COLOMBIA,CALI,Reclamador y apilador,27553,CAÑA,Desalineación;Elongación prematura;Otros;Falta de lubricación;Ruptura,PITTING,Platina Interna;Rodillo;Pasador cadena,"CDNA FB2198-C6-P6""",FB2198,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,76.5,74.0,3.38,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Desgaste,3.38,276
67733,27553,900484906,PD0001998-1,CADENA,"3300292911,,",EMPA,BANCO DE TRABAJO DESPACHO,PRODUCTO TERMINADO,9,2021-12-21,FI,FBORP,2022-09-23,MANUELITA,PALMAR DE ALTAMIRA,COLOMBIA,CALI,Reclamador y apilador,27553,CAÑA,Desalineación;Elongación prematura;Otros;Falta de lubricación;Ruptura,PITTING,Platina Interna;Rodillo;Pasador cadena,"CDNA FB2198-C6-P6""",FB2198,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,76.5,74.0,3.38,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Desgaste,3.38,276
65004,26425,860009808,30321162E,BUJE,4530309439,GRAN,GRANALLADORA,MECANIZADO,5,2021-05-20,FI,FBORP,2022-04-28,HOLCIM,NOBSA,COLOMBIA,BOYACA,Reclamador y apilador,26425,PIEDRA CALIZA,Elongación prematura;Otros,COLISIÃN CON GUÃAS,Platina Interna;Platina Externa;Rodillo,CDNA FB 311-TK1-C2-P250,FB425,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,100.05,97.75,2.3,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Desgaste,2.3,343
65017,26425,860009808,30326515B,BUJE,4530309439,CORT,MEGAS,CORTAR,1,2021-05-21,FI,FBORP,2022-04-28,HOLCIM,NOBSA,COLOMBIA,BOYACA,Reclamador y apilador,26425,PIEDRA CALIZA,Elongación prematura;Otros,COLISIÃN CON GUÃAS,Platina Interna;Platina Externa;Rodillo,CDNA FB 311-TK1-C2-P250,FB425,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,100.05,97.75,2.3,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Desgaste,2.3,342
76787,29830,4.31E+12,PD0002567,CADENA,4522821655,EMPA,BANCO DE TRABAJO DESPACHO,PRODUCTO TERMINADO,8,2023-05-30,FI,FBORP,2023-05-11,CEMEX,CALZADA LARGA,PANAMÁ,CAIMITILLO,Elevador cangilones,29830,COMBUSTIBLES ALTERNOS,Velocidad incorrecta;Desalineación,No Aplica,Pasador cadena,CDNA FB 833-K2-C3-P6,FB 833,152.4,156.6,0.45,2.5,6240.0,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Elongación,0.45,-19
76788,29830,4.31E+12,PD0002567A,BUJE,4522821655,CORT,MEGAS,CORTAR,1,2023-05-30,FI,FBORP,2023-05-11,CEMEX,CALZADA LARGA,PANAMÁ,CAIMITILLO,Elevador cangilones,29830,COMBUSTIBLES ALTERNOS,Velocidad incorrecta;Desalineación,No Aplica,Pasador cadena,CDNA FB 833-K2-C3-P6,FB 833,152.4,156.6,0.45,2.5,6240.0,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Elongación,0.45,-19
76789,29830,4.31E+12,PD0002567B,PASADOR,4522821655,CORT,MEGAS,CORTAR,1,2023-05-30,FI,FBORP,2023-05-11,CEMEX,CALZADA LARGA,PANAMÁ,CAIMITILLO,Elevador cangilones,29830,COMBUSTIBLES ALTERNOS,Velocidad incorrecta;Desalineación,No Aplica,Pasador cadena,CDNA FB 833-K2-C3-P6,FB 833,152.4,156.6,0.45,2.5,6240.0,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Elongación,0.45,-19
78008,30020,CAP821208LQ3,30391261D,BUJE,8400005594,CORT,MEGAS,CORTAR,1,2023-09-07,FI,FBORP,2023-03-10,HOLCIM,TECOMÃN,MEXICO,COLIMA,Elevador cangilones,30020,CEMENTO,Cavitación seca,No Aplica,Buje cadena,"CDNA ELEVADOR FB 984-K443-C2-P7""",FB 984,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,63.5,63.2,0.47,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Desgaste,0.47,-181
77462,30020,CAP821208LQ3,30391261,CADENA,8400005594,PINA1,BANCO DE TRABAJO ENSAMBLE,PRODUCTO TERMINADO,7,2023-07-28,FI,FBORP,2023-03-10,HOLCIM,TECOMÃN,MEXICO,COLIMA,Elevador cangilones,30020,CEMENTO,Cavitación seca,No Aplica,Buje cadena,"CDNA ELEVADOR FB 984-K443-C2-P7""",FB 984,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,63.5,63.2,0.47,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Desgaste,0.47,-140
71011,28508,860009808,30299259C,PASADOR,4500602273,CORT,MEGAS,CORTAR,1,2022-07-20,FI,FBORP,2023-02-01,HOLCIM,NOBSA,COLOMBIA,BOYACA,Elevador cangilones,28508,CARBÓN GRANULADO,Otros,OXIDACIÃN,Buje cadena;Platina Externa;Platina Interna;Pasador cadena,"CDNA FB 956-K24-C2-P6""",FB 956,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,25.4,24.6,3.25,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Desgaste,3.25,196
71009,28508,860009808,30299259A,BUJE,4500602273,CORT,MEGAS,CORTAR,1,2022-07-20,FI,FBORP,2023-02-01,HOLCIM,NOBSA,COLOMBIA,BOYACA,Elevador cangilones,28508,CARBÓN GRANULADO,Otros,OXIDACIÃN,Buje cadena;Platina Externa;Platina Interna;Pasador cadena,"CDNA FB 956-K24-C2-P6""",FB 956,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,25.4,24.6,3.25,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Desgaste,3.25,196
74172,29137,900164755,1014344,CADENA,4501176863,ENSA,PRENSA ENSAMBLES,FORJADO,1,2023-01-11,FI,FBORP,2023-07-08,ARGOS,ZONA FRANCA,COLOMBIA,CARTAGENA,Elevador cangilones,29137,CLINKER,Desalineación;Cavitación seca;Otros,MALAS PRÃCTICA DEL CLIENTE,Platina Interna;Pasador cadena,ER 857-K44,ER 857,No Aplica,0.22,0.22,2.5,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Elongación,0.22,178
63245,26046,890100251,1DCI010001,PASADOR,4500851751:,CENT,CENTRADORAS,MECANIZADO,2,2020-12-22,FI,FBORP,2022-02-21,ARGOS,PAZ DEL RIO,COLOMBIA,BOYACA,Elevador cangilones,26046,CEMENTO,No Aplica,TIEMPO DE TRABAJO,Platina Interna;Buje cadena;Pasador cadena,"CDNA FB 864-K443-C2-P7""",FB 864,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,31.75,29.0,9.48,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Desgaste,9.48,426
63249,26046,890100251,1DCI020001,BUJE,4500851751:,CORT,MEGAS,CORTAR,1,2020-12-22,FI,FBORP,2022-02-21,ARGOS,PAZ DEL RIO,COLOMBIA,BOYACA,Elevador cangilones,26046,CEMENTO,No Aplica,TIEMPO DE TRABAJO,Platina Interna;Buje cadena;Pasador cadena,"CDNA FB 864-K443-C2-P7""",FB 864,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,31.75,29.0,9.48,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Desgaste,9.48,426
63244,26046,890100251,1018018,CADENA,4500851751:,ENSA,PRENSA ENSAMBLES,FORJADO,1,2020-12-22,FI,FBORP,2022-02-21,ARGOS,PAZ DEL RIO,COLOMBIA,BOYACA,Elevador cangilones,26046,CEMENTO,No Aplica,TIEMPO DE TRABAJO,Platina Interna;Buje cadena;Pasador cadena,"CDNA FB 864-K443-C2-P7""",FB 864,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,31.75,29.0,9.48,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Desgaste,9.48,426
275,27758,CAP821208LQ3,PD0001788E,BUJE,8400003161;;;,GRAN,GRANALLADORA,MECANIZADO,5,2022-02-12,FI,FBREP,2024-06-07,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Elevador cangilones,27758,CEMENTO,Otros,MAL ESTADO RUEDA MOTRIZ Y TENSOR,Buje cadena,CDNA FB-SJM-984,FB-SJM-984,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,62.0,62.2,0.32,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Desgaste,0.32,846
