ConsecutivoOP,ConsecPedido,Cliente,NombCliente,Producto,NombProducto,FechElab,Proceso,Version,FechEntregaPdcc,FechEntregaClte,OCCliente,QtyRequerida,Actividad,QtyControl,RecMAQ,RecHOM,SecAct,FechEstInicil,estado,TipoConsecutivo,Fecha de visita,Empresa,Planta,País,Ciudad,Tipo de equipo,Orden de compra,Pedido N°,Fecha de instalación de la cadena,Material,Referencia equipo,Causa de desgaste,"Si escogió otros, cuál?",Escoja el desgaste donde se presenta,Tipo de cadena,Referencia cadena,Medida referencia de control desgaste nueva en mm,Medida referencia control de desgaste actual en mm,Porcentaje de elongación actual %,Porcentaje de elongación máx %,Proyección en horas de operación restantes (H),Medida sin desgaste en mm,Medida actual en mm1,Porcentaje de desgaste actual %,Medida sin desgaste en mm1,Medida sin desgaste en mm2,Medida actual en mm2,Medida actual en mm,Altura de la platina en mm,Medida actual de la platina en mm,Paso en mm,Cantidad de pasos (Muestra),"Recomendaciones

"
58249,24723.0,860009808,HOLCIM (COLOMBIA) S.A.,30351506D,PTNA EXT ADIT16X122.2X271 -90°,12/30/2019 18:38,30351506D,1,12/27/2019 0:00,1/8/2020 0:00,4530307685,752.0,ESME/PULI3,0,ESMERILES,ESMERILADO,2,12/13/2019 0:00,FI,FBORP,7/27/2021,HOLCIM COLOMBIA,HOLCIM COLOMBIA - NOBSA,COLOMBIA,NOBSA,Elevador cangilones,4530307685,24723.0,7/27/2021,CLINKER,ELEVADOR DE CANGILONES 533-EC1,Medidas fuera de especificación,,Platina Interna;Pasador cadena,"CDNA FB 984 ADIT K443-C2-P7""",FB 984 ,,12.6,0.88,1.23,9988,,,,,,,,,,,752.0,
66408,27037.0,900087414,RIOPAILA CASTILLA S.A.,102284D,PASADOR 28.6X26.4X127 PERF,9/30/2021 15:47,102284D,4,9/15/2021 0:00,9/30/2021 0:00,2000508616;,680.0,CORT,0,MEGAS,CORTAR,1,9/7/2021 0:00,FI,FBORP,3/25/2022,INGENIO RIO PAILA,VALLE DEL CAUCA,COLOMBIA,CALI,Tansportador de tablilla,2000508616,27037.0,2/25/2022,CAÑA,,Procesos de fabricación;Ruptura,,Platina Externa;Platina Interna,WH-132,"CDNA WH-132-RFO10-C4-P 6.05""  ACOD",,,,,,,,,,,,,152.4,,153.67,,"Material de las platinas con durezas muy altas, por encima de 50HRC. La falla es del tipo frágil iniciada desde los agujeros hacia los bordes de la platina. Las fallas se originan por desgarres producidos por la interferencia al ensamblar bujes y pasadores, esos desgarres son concentradores de fatiga que se magnifican por el pitting por corrosión producido por la humedad del medio de transporte en la mesa de caña. Hay entalles que se evidencian causado por pitting por corrosión y que por causa de la dureza tan alta de la platina inicia la falla de la platina. Todos los detalles anteriores son causa de la falla de las platinas y que se maximizan por otras causas inherentes al equipo de transporte y tienen que ver con el estado de las platinas guías, estado de sprockets y ruedas lisas los cuales producen choques que aumentan la probabilidad de fallas en las platinas."
71010,28508.0,860009808,HOLCIM (COLOMBIA) S.A.,30299259B,PTNA INT 12.7X76.2X236 ,7/29/2022 21:19,30299259B,2,7/25/2022 0:00,7/25/2022 0:00,4500602273,60.0,CORT2,0,OXICORTE Y PLASMA,CORTAR,1,7/20/2022 0:00,FI,FBORP,02/01/2023,HOLCIM,NOBSA,COLOMBIA,BOYACA,Elevador cangilones,4500602273;4530319004,28508.0,8/30/2022,CARBÓN GRANULADO,ELEVEDOR L41-EC,Otros,OXIDACIÓN,Buje cadena;Platina Externa;Platina Interna;Pasador cadena,"CDNA FB 956-K24-C2-P6""",FB 956,,,0.72,2.5,8900,25.9,26.05,PARA CALCULAR,25.4,,,24.6,,,152.4,2.0,Es evidente que se presenta un desgaste acelerado sobre todo en el pasador  	Toda la superficie de la cadena presenta desgaste por pitting generado por corrosión por el material que transporta y el porcentaje de humedad. 	El pitting que se observa en el pasador daña la superficie reduciendo el área y produciendo desprendimiento y desgaste acelerado. 	Se recomienda revisar todas las condiciones operacionales del equipo y sobre todo el retorno de material a la bota del elevador. 	El material transportado se torna pegajoso y e4s extremadamente corrosivo produciendo desgastes en todas las partes del elevador.
66729,27177.0,860009808,HOLCIM (COLOMBIA) S.A.,30179097,"CDNA FB-6830-K2-C2 P 6"" ",10/30/2021 12:28,30179097,3,10/21/2021 0:00,11/5/2021 0:00,4500556454,91.92,EMPA,0,BANCO DE TRABAJO DESPACHO,PRODUCTO TERMINADO,7,10/2/2021 0:00,FI,FBORP,07/07/2023,HOLCIM,,COLOMBIA,BOYACA,Elevador cangilones,4500556454,27177.0,10/12/2022,,612EC1,Desalineación,,Platina Externa,"CDNA FB-6830-K2-C2 P 6"" ",FB-683,152.4,152.8,0.26,2.2,32830,28.5,,,,,,,,,152.4,,"Se ha detectado a la fecha 8 platinas fisuradas de las cuales el cliente reparo 6 con soldadura como se evidencia en las fotos arriba adjuntas. No se tiene certeza del procedimiento de soldadura usado por el cliente, y esto puede afectar la resistencia de las platinas. El desgaste del buje implica que se estaba trabajando en el tensor con sprocket y no con rueda lisa. Las ruedas lisas tensoras parecen estar recién instaladas, lo que quiere decir que el equipo había trabajado normalmente con el sprocket tensor viejo. Se sugiere que el cliente nos envíe las evidencias de montaje de los sprockets. Se observa desgaste lateral en platinas internas lo que indica que se estaba trabajando con sprocket y no con rueda lisa, sumado a la desalineación total del equipo respecto a la carcasa de todo el elevador. Se adjunta informe anterior donde se recomienda todo el tema de desalineación."
74464,28914.0,CAP821208LQ3,HOLCIM MEXICO OPERACIONES S.A. DE C.V,30392656H,POSTIZO 12.7X20X42,4/28/2023 9:35,30392656H,1,,1/24/2023 0:00,8400005086,1280.0,CORT2,0,OXICORTE Y PLASMA,CORTAR,1,1/25/2023 0:00,FI,FBORP,06/07/2024,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Tansportador de tablilla,8400005086,28914.0,1/25/2023,CLINKER,TRANSPORTADOR DE TABLILLAS 491-TP1 (KZB-Q 250 1000/350/5),Otros,SPROCKET MOTRIZ EN MAL ESTADO,Platina Interna,CDNA FB TRANS AU8076-C5-P250,FB 8076 ,326,326.6,0.18,1.6,,"50,6","50,6",,50,,,50.0,,,250,1.0,"Se evidencia alto contacto en las platinas de los eslabones internos con los sprockets. Se observa huella de desgaste. 2.	Se evidencia patrón de hendiduras en las platinas internas, estas se ubican en el canto de la platina y hacia el lado interno, las mismas se presentan hacia el lado del motor #1. Las  hendiduras en la cadena son a causa del contacto entrada incorrecta entre cadena y sprockets. "
63179,26033.0,891300241,MANUELITA S.A,1ACI020007,BUJE ØE60XØI41X130 CP,2/26/2021 18:03,1ACI020007,2,1/12/2021 0:00,2/5/2021 0:00,3300190163:,664.0,CEME,0,HORNO DE TT,TRATAMIENTOS TERMICOS,6,12/17/2020 0:00,FI,FBORP,5/30/2023,INGENIO MANUELITA,COLOMBIA,COLOMBIA,CALI,Tansportador de tablilla,3300190163,26033.0,,CAÑA,CONDUCTOR DE CAÑA,,Tiempo de uso,N/A;Pasador cadena,"CDNA FB 2648-P12""",FB 2648,304.8,1524,1.77,2.1,,,,,36.95,,,35.2,,,304.8,5.0,"La silla platina es el elemento más deteriorado de la cadena, el cual se ha estado fisurando en la parte lateral donde se presenta las perforaciones  Ingenio manuelita colocó una lámina en forma de U para reforzar la silla platina y evitar el desprendimiento de esta.  La soldadura colocada entre el refuerzo y la silla platina presenta deterioro en algunos elementos."
67135,27380.0,860009808,HOLCIM (COLOMBIA) S.A.,30321162D,PTNA INT ADIT 9.5X152X349,11/30/2021 19:01,30321162D,2,11/7/2021 0:00,11/29/2021 0:00,E-MAIL 02/11/2021,116.0,ENDE,0,"PRENSA ANCLAJES, PLATINAS Y TROQUELADORAS",FORJADO,4,11/4/2021 0:00,FI,FBORP,12/05/2022,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,,27380.0,12/12/2021,PIEDRA CALIZA,RECLAMADOR,Elongación prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,250,251.17,0.47,2,34000,100,98,,,,,,81.0,350.0,250,6.0,"?	Elongación de la cadena Cadena con porcentaje de elongación promedio 0.47% de una elongación máxima de 2%. en términos generales 1/4"" parte de la elongación máxima. Si proyectamos la vida útil por la elongación se proyecta una vida útil de 4 años. ?	Desgaste del rodillo. Rodillo diámetro nuevo= 100mm, actualmente en promedio tiene un desgaste diámetro de 98mm, el desgaste máximo mínimo del rodillo es de 94mm. Por este desgaste se proyecta una vida útil de 3 años. ?	Se detectan rodillos con caras planas, con un desgate que llega hasta 10mm en la cara plana, se recomienda cambiar lo mas pronto posible esos rodillos con car5as planas. (hasta el momento no se determina la causa de las caras planas de los rodillos los cuales esta causada porque las ruedas están bloqueadas en el giro, para determinar la causa hay que bajar un paso de cadena con ruedas pegadas y analizar). ?	Se evidencian guías en buen estado. ?	Se evidencia excesiva tensión (se recomienda des tensionar mínimo 10mm para evitar los desgastes acelerados en la elongación de la cadena, la rueda lisa y sprockets. ?	Se encuentran varias hojas reclamadoras con los tornillos de sujeción a la cadena flojos que permiten movimiento y por ende fatiga en tornillos con la posibilidad de que fallen por corte y una hoja reclamadora suelta cause un daño mayor en el equipo."
66409,27037.0,900087414,RIOPAILA CASTILLA S.A.,102284E,PTNA CAB ADIT 12.7X182X234.1 D,9/30/2021 15:53,102284E,5,9/15/2021 0:00,9/30/2021 0:00,2000508616;,85.0,DOBL1,0,PRENSA PLATINAS,FORJADO,3,9/7/2021 0:00,FI,FBORP,3/25/2022,INGENIO RIO PAILA,VALLE DEL CAUCA,COLOMBIA,CALI,Tansportador de tablilla,2000508616,27037.0,2/25/2022,CAÑA,,Procesos de fabricación;Ruptura,,Platina Externa;Platina Interna,WH-132,"CDNA WH-132-RFO10-C4-P 6.05""  ACOD",,,,,,,,,,,,,152.4,,153.67,,"Material de las platinas con durezas muy altas, por encima de 50HRC. La falla es del tipo frágil iniciada desde los agujeros hacia los bordes de la platina. Las fallas se originan por desgarres producidos por la interferencia al ensamblar bujes y pasadores, esos desgarres son concentradores de fatiga que se magnifican por el pitting por corrosión producido por la humedad del medio de transporte en la mesa de caña. Hay entalles que se evidencian causado por pitting por corrosión y que por causa de la dureza tan alta de la platina inicia la falla de la platina. Todos los detalles anteriores son causa de la falla de las platinas y que se maximizan por otras causas inherentes al equipo de transporte y tienen que ver con el estado de las platinas guías, estado de sprockets y ruedas lisas los cuales producen choques que aumentan la probabilidad de fallas en las platinas."
74460,28914.0,CAP821208LQ3,HOLCIM MEXICO OPERACIONES S.A. DE C.V,30392656D,PTNA EXT ADIT 12X118X419-90°,4/28/2023 9:34,30392656D,1,,1/24/2023 0:00,8400005086,960.0,CALE2,0,HORNOS DE INDUCCIÓN,TRATAMIENTOS TERMICOS,5,1/25/2023 0:00,FI,FBORP,06/07/2024,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Tansportador de tablilla,8400005086,28914.0,1/25/2023,CLINKER,TRANSPORTADOR DE TABLILLAS 491-TP1 (KZB-Q 250 1000/350/5),Otros,SPROCKET MOTRIZ EN MAL ESTADO,Platina Interna,CDNA FB TRANS AU8076-C5-P250,FB 8076 ,326,326.6,0.18,1.6,,"50,6","50,6",,50,,,50.0,,,250,1.0,"Se evidencia alto contacto en las platinas de los eslabones internos con los sprockets. Se observa huella de desgaste. 2.	Se evidencia patrón de hendiduras en las platinas internas, estas se ubican en el canto de la platina y hacia el lado interno, las mismas se presentan hacia el lado del motor #1. Las  hendiduras en la cadena son a causa del contacto entrada incorrecta entre cadena y sprockets. "
74460,28914.0,CAP821208LQ3,HOLCIM MEXICO OPERACIONES S.A. DE C.V,30392656D,PTNA EXT ADIT 12X118X419-90°,4/28/2023 9:34,30392656D,1,,1/24/2023 0:00,8400005086,960.0,CORT2,0,OXICORTE Y PLASMA,CORTAR,1,1/25/2023 0:00,FI,FBORP,06/07/2024,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Tansportador de tablilla,8400005086,28914.0,1/25/2023,CLINKER,TRANSPORTADOR DE TABLILLAS 491-TP1 (KZB-Q 250 1000/350/5),Otros,SPROCKET MOTRIZ EN MAL ESTADO,Platina Interna,CDNA FB TRANS AU8076-C5-P250,FB 8076 ,326,326.6,0.18,1.6,,"50,6","50,6",,50,,,50.0,,,250,1.0,"Se evidencia alto contacto en las platinas de los eslabones internos con los sprockets. Se observa huella de desgaste. 2.	Se evidencia patrón de hendiduras en las platinas internas, estas se ubican en el canto de la platina y hacia el lado interno, las mismas se presentan hacia el lado del motor #1. Las  hendiduras en la cadena son a causa del contacto entrada incorrecta entre cadena y sprockets. "
56817,23996.0,860009808,HOLCIM (COLOMBIA) S.A.,30179097D,PTNA PIN 10X57.4X205 ACOD-90°,10/23/2019 11:57,30179097D,1,8/27/2019 0:00,8/23/2019 0:00,4900027863,263.0,CORT5,0,PLASMA,CORTAR,1,8/3/2019 0:00,FI,FBORP,1/16/2020,HOLCIM,HOLCIM COLOMBIA,COLOMBIA,BOYACÁ,Elevador cangilones,,23996.0,,,631-EC1,Elongación prematura,,Buje cadena,"CDNA FB 6830-K2-C2 P 6"" ",FB 6830,,,,2.2,40000,28.55,0,0,,,,,,,,,Como medida principal se debe cambiar el tramo de cadena viejo que está instalado actualmente para evitar que los sprocket se sigan desgastando y que los bujes nuevos sufran desgaste prematuro.
77800,30028.0,CAP821208LQ3,HOLCIM MEXICO OPERACIONES S.A. DE C.V,30558853B,TAPA CANGILON 4.5X323.5X323.6,10/31/2023 13:20,30558853B,1,,8/16/2023 0:00,8400005586,546.0,CORT2,0,OXICORTE Y PLASMA,CORTAR,1,8/17/2023 0:00,FI,FBORP,5/20/2024,HOLCIM,MERIDA,MEXICO,MERIDA,Elevador cangilones,8400005586,30028.0,1/20/2024,CLINKER,ELEVADOR 5E1-BE01,Otros,FALTA DE COMPONENTE (ARANDELAS TOPE),Pasador cadena,CDNA ELEVADOR FB AU06.3 C2 P7,FB AU06.3,"236,5",236.8,0.14,3.3,29524,58,57.85,,,,,,,950.0,177.8,5.0,"Pasadores desplazados o con tendencia hacia la izquierda o derecha. El pasador esta centrado cuando sobresale aproximadamente 3,0mm en cada extremo a partir de la platina aditamento o teléfono. Para garantizar la correcta operación del elevador 5E1-BE01 se deberán instalar las arandelas topes como medida correctiva inmediata. Como solución definitiva se debe realizar el reemplazo de cadena FB-06. "
74459,28914.0,CAP821208LQ3,HOLCIM MEXICO OPERACIONES S.A. DE C.V,30392656C,PTNA INT ADIT 12X128X391-90°,4/28/2023 9:34,30392656C,1,,1/24/2023 0:00,8400005086,960.0,CORT2,0,OXICORTE Y PLASMA,CORTAR,1,1/25/2023 0:00,FI,FBORP,06/07/2024,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Tansportador de tablilla,8400005086,28914.0,1/25/2023,CLINKER,TRANSPORTADOR DE TABLILLAS 491-TP1 (KZB-Q 250 1000/350/5),Otros,SPROCKET MOTRIZ EN MAL ESTADO,Platina Interna,CDNA FB TRANS AU8076-C5-P250,FB 8076 ,326,326.6,0.18,1.6,,"50,6","50,6",,50,,,50.0,,,250,1.0,"Se evidencia alto contacto en las platinas de los eslabones internos con los sprockets. Se observa huella de desgaste. 2.	Se evidencia patrón de hendiduras en las platinas internas, estas se ubican en el canto de la platina y hacia el lado interno, las mismas se presentan hacia el lado del motor #1. Las  hendiduras en la cadena son a causa del contacto entrada incorrecta entre cadena y sprockets. "
