TipoOp,ConsOP,Actividad,Descripcion Actividad,Version,Comentario,Proceso
FBREP,465,PULI1,PULIR1,4,"ARISTAS VIVAS, SOLO SI ES NECESARIO.",R1487A
FBREP,453,PULI1,PULIR1,4,"ARISTAS VIVAS, SOLO SI ES NECESARIO.",R1487A
FBREP,115,PULI1,PULIR1,2,"ARISTAS VIVAS
SOLO SI ES NECESARIO",PD0001616A
FBREP,166,PULI1,PULIR1,1,SOLO SI ES NECESARIO.,1ACI110001
FBREP,410,PULI1,PULIR1,4,"7.1).PULIR ARISTAS VIVAS, SOLO SI ES NECESARIO.",30375034
FBREP,476,PULI1,PULIR1,2,•PULIR ARISTAS VIVAS,30607413C
FBREP,229,PULI1,PULIR1,2,"ARISTAS VIVAS, SOLO SI ES NECESARIO.",30179009C
FBREP,125,PULI1,PULIR1,2,PULIR REBABAS,PD01324D2
FBREP,414,PULI1,PULIR1,1,ARISTAS VIVAS,30392656C
FBREP,215,PULI1,PULIR1,2,"1.1).LIMPIAR LAS PIEZAS COMPLETAMENTE (LIBRES DE TODO COMPUESTO ORGÁNICO Y CALAMINA)

",1495604
FBREP,230,PULI1,PULIR1,2,"ARISTAS VIVAS, SOLO SI EN NECESARIO.",30179097D
FBREP,489,PULI1,PULIR1,2,"- PULIR ARISTAS VIVAS, SOLO SI ES NECESARIO",30586248A9
FBREP,273,PULI1,PULIR1,3,"ARISTAS VIVAS, SOLO SI ES NECESARIO",PD0001788C
FBREP,488,PULI1,PULIR1,2,"- PULIR ARISTAS VIVAS, SOLO SI ES NECESARIO",30586248A8
FBREP,478,PULI1,PULIR1,3,"•PULIR ARISTAS VIVAS.
",30607413E
FBREP,359,PULI1,PULIR1,4,9.1)PULIR ARISTAS VIVAS.,6352045180
FBREP,204,PULI1,PULIR1,1,2.1).PULIR REBABAS,PD198313B2
FBREP,82,PULI1,PULIR1,1,LIMPIEZA MANUAL MECANICA,PD0001754P
FBREP,293,PULI1,PULIR1,3,"ARISTAS VIVAS, SOLO SI ES NECESARIO",1ACI040007
FBREP,150,PULI1,PULIR1,3,"ARISTAS VIVAS, SOLO SI ES NECESARIO.",PD0001061D
FBREP,333,PULI1,PULIR1,2,"ARISTA VIVAS, SOLO SI ES NECESARIO.",54987-1A
FBREP,148,PULI1,PULIR1,1,"ARISTAS VIVAS, SOLO SI ES NECESARIO.",00004196
FBREP,67,PULI1,PULIR1,1,"PULIR REBABAS
",PD0001754D
FBREP,68,PULI1,PULIR1,1,"PULIR REBABAS
",PD0001754E
FBREP,211,PULI1,PULIR1,1,2.1).PULIR REBABA,PD19832A23
FBREP,71,PULI1,PULIR1,1,LIMPIEZA MANUAL MECANICA,PD0001754H
FBREP,394,PULI1,PULIR1,2,"ARISTAS VIVAS, SOLO SI  ES NECESARIO.",30321162A
FBREP,466,PULI1,PULIR1,7,"ARISTAS VIVAS, SOLO SI ES NECESARIO.",R1487B
FBREP,248,PULI1,PULIR1,2,"ARISTAS VIVAS, SOLO SI ES NECESARIO",PD01923C
FBREP,241,PULI1,PULIR1,2,"ARISTAS VIVAS,SOLO SI ES NECESARIO.",1290005F
FBREP,97,PULI1,PULIR1,1,PULIR REBABA,PD016002
FBREP,270,PULI1,PULIR1,6,ARISTAS VIVAS,6000036
FBREP,418,PULI1,PULIR1,1,"PULIR SOLDADURA, SOLO SI ES NECESARIO",30392656I
FBREP,33,PULI1,PULIR1,1,QUITAR REBABAS,PD01422D
FBREP,60,PULI1,PULIR1,1,"PULIR ARISTAS VIVAS, SOLO SI ES NECESARIO.",1465030D
FBREP,101,PULI1,PULIR1,2,HACER LIMPIEZA  MANUAL-MECANICA,037704
FBREP,25,PULI1,PULIR1,1,LIMPIEZA MANUAL-MECANICA,PD0001806
FBREP,405,PULI1,PULIR1,2,"ARISTAS VIVAS, SOLO SI ES NECESARIO",30351506C
FBREP,254,PULI1,PULIR1,1,"PULIR ARISTAS VIVAS, SOLO SI ES NECESARIO",PD0002210A
FBREP,258,PULI1,PULIR1,1,"PULIR ARISTAS VIVAS, SOLO SI ES NECESARIO",PD0002210A
FBREP,35,PULI1,PULIR1,1,LIMPIEZA MANUAL-MECANICA,PD01337
FBREP,177,PULI1,PULIR1,1,"ARISTAS VIVAS, SOLO SI ES NECESARIO",1DCI040005
FBREP,485,PULI1,PULIR1,1,"ARISTAS VIVAS, SOLO SI ES NECESARIO.",30586248A4
FBREP,6,PULI1,PULIR1,1,PULIR REBABAS,786581A
FBREP,484,PULI1,PULIR1,1,"ARISTAS VIVAS, SOLO SI ES NECESARIO.",30586248A3
FBREP,103,PULI1,PULIR1,1,PULIR REBABAS,037704B
FBREP,223,PULI1,PULIR1,1,PULIR REBABAS,037704B
FBREP,10,PULI1,PULIR1,1,,1058930A
FBREP,98,PULI1,PULIR1,2,SOLO SI ES NECESARIO,5860012237
FBREP,228,PULI1,PULIR1,2,ARISTAS VIVAS,30179097B
FBREP,240,PREC2,PRECALENTAR2,2,"2.1).LA PUNTA DE LA BIELA, ESTA FABRICADA EN ACERO AISI/4140
2.2).PRE-CALENTAR CON SOPLETE A 240°C (CON SOPLETE)
2.3).VALIDAR TEMPERATURA CON TIZA TERMICA",16767
FBREP,166,PULI2,PULIR2,1,SOLO SI ES NECESARIO.,1ACI110001
FBREP,410,PULI2,PULIR2,4,2.1).PULIR REBABA,30375034
FBREP,88,ROSC,ROSCAR,1,POR MACHUELO,PD0001754V
FBREP,240,ROSC,ROSCAR,2,"9.1).ROSCA M8X1.25
9.2).ROSCA M4X0.7
",16767
FBREP,131,ROSC,ROSCAR,2,ROSCAR POR MACHUELO 5/8-18H.,PD0158828A
FBREP,62,ROSC,ROSCAR,1,ROSCAR  LAMINACION,1480738F
FBREP,388,ROSC,ROSCAR,3,"POR LAMINACION

¡OJO! GARANTIZAR ENSAMBLABILIDAD DE TUERCA CON TORNILLO SIN HOLGURA",1100032312
FBREP,209,ROSC,ROSCAR,1,4.1).POR MACHUELO ,PD198314A
FBREP,458,ROSC,ROSCAR,13,ROSCAR M30X2 UNF,30413868
FBREP,390,ROSC,ROSCAR,12,"REPASAR ROSCA, SOLO SI ES NECESARIO.",10020267
FBREP,458,ROSC,ROSCAR,12,ROSCAR M30X2 UNF,30413868
FBREP,32,ROSC,ROSCAR,1,ROSCAR POR LAMINACION,PD01422C
FBREP,31,ROSC,ROSCAR,1,ROSCAR CON MACHUELO ,PD01422B
FBREP,14,ROSC,ROSCAR,2,ROSCAR POR LAMINACIÓN,102316
FBREP,19,ROSC,ROSCAR,1,ROSCAR CON MACHUELO ,PD01399K1
FBREP,3,ROSC,ROSCAR,2, POR LAMINACIÓN,4001899
FBREP,199,ROSC,ROSCAR,1,8.1).POR MACHUELO,PD198313A
FBREP,202,ROSC,ROSCAR,1,8.1).POR MACHUELO,PD198313B
FBREP,97,ROSC,ROSCAR,1,POR LAMINACIÓN,PD016002
FBREP,125,ROSC,ROSCAR,2,ROSCAR POR MACHUELO (M20X2.5),PD01324D2
FBREP,205,ROSC,ROSCAR,1,4.1).POR MACHUELO ,PD198313C
FBREP,144,ROSC,ROSCAR,1,ROSCAR POR LAMINACION,PD0001955
FBREP,372,TORN3,TORNEAR3,6,"REFRENTAR 
CILINDRAR
CHAFLANAR
ROSCAR (POR ARRANQUE DE VIRUTA)",12689
FBREP,260,TORN3,TORNEAR3,8,SE DEBE REPASAR LA ROSCA PARA VERIFICAR ENSAMBLABILIDAD.,10020190
FBREP,457,TORN3,TORNEAR3,6,"REFRENTAR
MONTAR EN ARBOL DE HEXAGONO (PARA LOGRAR CENTRICIDAD DEL HEXAGONO CON EL DIAMETRO DE LA CABEZA)

CILINDRAR
-AJUSTAR DIAMETRO DE CABEZA Y AVELLANAR
-DAR DIAMETRO DE FIJACION Y LAMINACION

",30169435
FBREP,270,TORN3,TORNEAR3,6,"REFRENTAR

CILINDRAR
",6000036
FBREP,320,TORN3,TORNEAR3,1,"REFRENTAR 
CILINDRAR
CHAFLANAR
PERFORAR
ALESAR
AVELLANAR
",PD0002334C
FBREP,388,TORN3,TORNEAR3,3,"REFRENTAR



CILINDRAR ESPIGA DE FIJACION (+0.2) PARA LUEGO RECTIFICAR
DAR DIAMETRO DE LAMINACION
CILINDRAR DIAMETRO DE CABEZA

NOTA: GARANTIZAR QUE LOS Ø NO QUEDEN OVALADOS

",1100032312
FBREP,243,TORN3,TORNEAR3,4,"CILINDRAR
PERFORAR

ALESAR DIAMETRO INTERIOR 

ALESAR CAJA  ",4004359
FBREP,360,TORN3,TORNEAR3,1,"DAR ANGULO A 45°
",PD0451-80B
FBREP,357,TORN3,TORNEAR3,2,"DAR ANGULO A 45°
",30573114-2
FBREP,429,TORN3,TORNEAR3,2,"DAR ANGULO A 45°
",30573114-2
FBREP,435,TORN3,TORNEAR3,2,"REFRENTAR 
CILINDRAR",PD000814-1
FBREP,437,TORN3,TORNEAR3,1,"REFRENTAR
CILINDRAR 
PERFORAR
ALESAR

AVELLANAR

TRONZAR
",PD02199-1B
FBREP,409,TORN3,TORNEAR3,1,"DAR ANGULO A 45°
",PD02199-1A
FBREP,436,TORN3,TORNEAR3,3,CILINDRAR ANGULO A 45°,710010105C
FBREP,390,TORN3,TORNEAR3,12,"REFRENTAR
AVELLANAR
CILINDRAR",10020267
FBREP,373,TORN3,TORNEAR3,6,BORRAR MARCA  SI ESTA EN BAJO RELIEVE,4001190
FBREP,387,TORN3,TORNEAR3,1,"PERFORAR.
CILINDRAR.
ALESAR.
AVELLANAR.
TRONZAR.",PD02599
FBREP,404,TORN3,TORNEAR3,2,"REFRENTAR
CILINDRAR DEJANDO (+0.1)mm PARA LUEGO RECTIFICAR

",30351506B
FBREP,411,TORN3,TORNEAR3,4,"CILINDRAR ANGULO A 45° 
",30375034A
FBREP,389,TORN3,TORNEAR3,2,"REFRENTAR BORRAR MARCA
ALESAR

ROSCAR
",110032312A
FBREP,319,TORN3,TORNEAR3,1,"REFRENTAR
CILINDRAR
HACER CHAFLAN

SEGUN PLANO",PD0002334B
FBREP,282,CALE,CALENTAR,2,SOLO SI ES NECESARIO,PD0002299B
FBREP,19,CALE,CALENTAR,1,¡OJO! REVENIR INMEDIATAMENTE DESPUES DE TEMPLAR,PD01399K1
FBREP,3,CALE,CALENTAR,2,PRE-CALENTAR MOLDE,4001899
FBREP,281,CALE,CALENTAR,2,SOLO SI ES NECESARIO.,PD0002299A
FBREP,176,CALE,CALENTAR,2,,1DCI020003
FBREP,150,CALE,CALENTAR,3,,PD0001061D
FBREP,76,CALE,CALENTAR,1,"!OJO¡

REVENIR INMEDIATAMENTE DESPUES DE TEMPLAR",PD0001754K
FBREP,148,CALE,CALENTAR,1,,00004196
FBREP,241,CALE,CALENTAR,2,"CALENTAR EN HORNO 61-60% 15 Seg


CALENTAR EN HORNO 30 MAXIMA POTENCIA  72 Seg",1290005F
FBREP,143,CALE,CALENTAR,3,PRE-CALENTAR MATERIAL.,1ARU140003
FBREP,98,CALE,CALENTAR,2,,5860012237
FBREP,249,CALE,CALENTAR,2,PRE-CALENTAR ,PD01923D
FBREP,100,CALE,CALENTAR,5,PRE-CALENTAR MOLDE,10020192
FBREP,62,CALE,CALENTAR,1,PRE-CALENTAR MOLDE,1480738F
FBREP,166,CALE,CALENTAR,1,"CALENTAR EN HORNO 61-60% 15 Seg


-CALENTAR EN HORNO 30 MAXIMA POTENCIA  72 Seg",1ACI110001
FBREP,230,CALE,CALENTAR,2,PRE-CALENTAR ,30179097D
FBREP,85,CALE,CALENTAR,1,PRE-CALENTAR MATERIAL.,PD0001754U
FBREP,178,CALE,CALENTAR,1,PRE-CALENTAR DOBLADOR,1DCI040006
FBREP,229,CALE,CALENTAR,2,PRE-CALENTAR ,30179009C
FBREP,414,CALE2,CALENTAR2,1,CALENTAR EN LA ZONA DEL DOBLEZ,30392656C
FBREP,406,CALE2,CALENTAR2,3,- CALENTAR PLATINA EN LA ZONA DEL DOBLEZ.,30351506D
FBREP,272,CALE2,CALENTAR2,2,,PD0001788A
FBREP,415,CALE2,CALENTAR2,1,CALENTAR EN LA ZONA DEL DOBLEZ,30392656D
FBREP,466,CALE2,CALENTAR2,7,CALENTAR MATERIAL EN LA ZONA DEL DOBLEZ,R1487B
FBREP,478,ENDE1,ENDEREZAR1,3,•GARANTIZAR PLANITUD,30607413E
FBREP,477,ENDE1,ENDEREZAR1,3,•GARANTIZAR PLANITUD,30607413D
FBREP,304,VERI1,VERIFICAR1,5,14.1).VERIFICAR EN PLATO.,83094
FBREP,358,VERI1,VERIFICAR1,3,14.1) VERIFICAR EN PLATO.,30573114-3
FBREP,410,VERI1,VERIFICAR1,4,12.1).VERIFICAR EN PLATO.,30375034
FBREP,476,VERI1,VERIFICAR1,2,•VALIDAR CON DISPOSITIVO PASA NO PASA.,30607413C
FBREP,375,VERI1,VERIFICAR1,3,"MONTAR TCA PROBADOR SOBRE UNA PRENSA Y ROSCAR, DEBE MANTENERSE EL ESPARRAGO SIN OSCILACIONES MIENTRAS SE ROSCA.
VER VIDEO EN CARPETA DEL PEDIDO 29032",1021011210
FBREP,359,VERI1,VERIFICAR1,4,14.1) VERIFICAR EN PLATO.,6352045180
FBREP,428,VERI1,VERIFICAR1,2,"12.1) VERIFICAR EN PLATO.
",PD0002355H
FBREP,98,CALE1,CALENTAR1,2,,5860012237
FBREP,386,CHAF,CHAFLANAR,1,CHAFLAN DE 5X15°,PD02510
FBREP,15,CHAF,CHAFLANAR,1,A=3mm AMBOS LADOS,CBT8U7ZZ
FBREP,213,CHAF,CHAFLANAR,4,A=3 AMBOS LADOS,412201
FBREP,16,CHAF,CHAFLANAR,1,A=3mm AMBOS LADOS,CBT8U82D
FBREP,124,CHAF,CHAFLANAR,1,,PD0001588C
FBREP,144,CHAF,CHAFLANAR,1,CHAFLANAR,PD0001955
FBREP,478,FORJ4,FORJAR4,3,"* APLASTAR ""SOBRE PLANCHAS"" GARANTIZANDO UNA ALTURA DE 39mm APROXIMADAMENTE.

* ESTAMPAR
MOLDE= 401
DIE-SET=102

NOTA:ESTE PROCESO SE REALIZA EN EL MISMO MONTAJE
",30607413E
FBREP,470,FORJ4,FORJAR4,2,"3.1) ESTAMPAR.
TROQUEL 504.

NOTA: EL ESLABON DEBE DE SALIR MARCADO FB/MATERIAL (VER TABLA PLANO).",500644
FBREP,477,FORJ4,FORJAR4,3,"* APLASTAR ""SOBRE PLANCHAS""GARANTIZANDO UNA ALTURA DE 39mm

* ESTAMPAR
MOLDE=  402
DIE- SET =102

NOTA:ESTE PROCESO SE REALIZA EN EL MISMO MONTAJE.
- DEBE SALIR MARCADO DE FORJAS",30607413D
FBREP,451,FORJ4,FORJAR4,4,"3.1) ESTAMPAR.
TROQUEL 504.

NOTA: EL ESLABON DEBE DE SALIR MARCADO FB/MATERIAL (VER TABLA PLANO)",04774
FBREP,476,FORJ4,FORJAR4,2,"•ESTAMPAR 
•TROQUEL: 403 DIE SET 1611

",30607413C
FBREP,473,ENSA8,ENSAMBLAR8,1,"3.1).ENGRASAR EN LA ZONA INDICADA SEGUN PLANO.
3.2).INSERTAR PASO INTERNO
",30607413
FBREP,458,FORJ5,FORJAR5,13,"NOTA: RETIRAR LA CASCARILLA  DESPUES DEL CALENTAMIENTO ANTES DE ESTAMPAR EN EL MOLDE.                                                                                                                    MOLDE=CZ-01
MPC=79

ESTAMPAR
SALE CON MEDIDAS FINALES
",30413868
FBREP,458,FORJ5,FORJAR5,12,"NOTA: RETIRAR LA CASCARILLA  DESPUES DEL CALENTAMIENTO ANTES DE ESTAMPAR EN EL MOLDE.                                                                                                                    MOLDE=CZ-01
MPC=71 DEFINIDO

ESTAMPAR
SALE CON MEDIDAS FINALES
",30413868
FBREP,422,FORJ5,FORJAR5,2,"FORJAR EN FRIO 
 
ESTAMPAR
MOLDE=39

NOTA: LUBRICAR PARA EVITAR  FISURAS.",30392656H
FBREP,344,LIMP1,LIMPIAR1,1,"LIMPIEZA MANUAL MECANICA 
",54987-1L
FBREP,350,LIMP1,LIMPIAR1,1,4.1) LIMPIEZA MANUAL-MECANICA,PD0002309
FBREP,381,LIMP1,LIMPIAR1,1,4.1).LIMPIEZA MANUAL MECANICA,30449957-2
FBREP,397,LIMP1,LIMPIAR1,2,LIMPIEZA MANUAL MECANICA,30321162J
FBREP,443,LIMP1,LIMPIAR1,1,4.1).QUITAR LA PROTECCIÓN (LARK OIL PO) PARA PODER PINTAR LA PUNTA DEL ESPARRAGO Y UNA CARA DE LA TUERCA.,APLICPINTU
FBREP,340,LIMP1,LIMPIAR1,3,"LIMPIEZA MANUAL MECANICA 
",54987-1H
FBREP,302,LIMP1,LIMPIAR1,3,4.1).LIMPIEZA MANUAL-MECANICA,1ACI040008
FBREP,418,LIMP1,LIMPIAR1,1,LIMPIEZA MANUAL-MECANICA,30392656I
FBREP,408,LIMP1,LIMPIAR1,1,"LIMPIEZA MANUAL-MECANICA
",PD00021991
FBREP,393,LIMP1,LIMPIAR1,1,5.1).LIMPIEZA MANUAL-MECANICA,PD0002538
FBREP,308,LIMP1,LIMPIAR1,1, LIMPIEZA MANUAL-MECANICA,PD0002334
FBREP,131,SERV1,SERVICIO1,2,SERVICIO DE DOBLEZ,PD0158828A
FBREP,124,SERV1,SERVICIO1,1,SERVICIO DE DOBLEZ,PD0001588C
FBREP,216,SERV1,SERVICIO1,2,2.1).SERVICIO DE DOBLEZ,1495604A
FBREP,221,EMPA,EMPACAR,3,,037704
FBREP,260,EMPA,EMPACAR,8,,10020190
FBREP,470,EMPA,EMPACAR,2,,500644
FBREP,149,EMPA,EMPACAR,1,,00004195
FBREP,242,EMPA,EMPACAR,3,,1290005-1
FBREP,30,EMPA,EMPACAR,1,,PD01422A
FBREP,173,EMPA,EMPACAR,1,,PD0001788G
FBREP,163,EMPA,EMPACAR,1,,PD0001788G
FBREP,212,EMPA,EMPACAR,1,,PD198511
FBREP,7,EMPA,EMPACAR,2,,1000189006
FBREP,208,EMPA,EMPACAR,1,,PD198314
FBREP,31,EMPA,EMPACAR,1,,PD01422B
FBREP,375,EMPA,EMPACAR,3,,1021011210
FBREP,214,EMPA,EMPACAR,1,,PD011442C4
FBREP,16,EMPA,EMPACAR,1,,CBT8U82D
FBREP,32,EMPA,EMPACAR,1,,PD01422C
FBREP,472,EMPA,EMPACAR,2,,PD002388F
FBREP,300,EMPA,EMPACAR,2,,PD0002111A
FBREP,438,EMPA,EMPACAR,11,,5860012237
FBREP,481,EMPA,EMPACAR,11,,5860012237
FBREP,447,EMPA,EMPACAR,3,,1000278461
FBREP,431,EMPA,EMPACAR,3,,1000278461
FBREP,443,EMPA,EMPACAR,1,1.1).DESEMPACAR.,APLICPINTU
FBREP,349,EMPA,EMPACAR,1,,PD0002385
FBREP,331,EMPA,EMPACAR,1,,26084-1
FBREP,464,EMPA,EMPACAR,4,,R1487
FBREP,435,EMPA,EMPACAR,2,,PD000814-1
FBREP,493,EMPA,EMPACAR,1,,PD0002701
FBREP,440,EMPA,EMPACAR,7,,5860012238
FBREP,444,EMPA,EMPACAR,6,,1ACI000000
FBREP,236,EMPA,EMPACAR,3,,16763
FBREP,304,EMPA,EMPACAR,5,,83094
FBREP,28,EMPA,EMPACAR,1,,PD0001805
FBREP,377,EMPA,EMPACAR,1,,PD0002495
FBREP,92,EMPA,EMPACAR,1,,PD0001876
FBREP,243,EMPA,EMPACAR,4,,4004359
FBREP,128,EMPA,EMPACAR,1,,PD00158821
FBREP,99,EMPA,EMPACAR,2,,10020190
FBREP,100,EMPA,EMPACAR,5,,10020192
FBREP,358,EMPA,EMPACAR,3,,30573114-3
FBREP,461,EMPA,EMPACAR,1,,PD0002796
FBREP,452,EMPA,EMPACAR,1,,PD0002796
FBREP,278,EMPA,EMPACAR,1,,PD002163-3
FBREP,376,EMPA,EMPACAR,1,,PD0002494
FBREP,14,EMPA,EMPACAR,2,,102316
FBREP,121,EMPA,EMPACAR,1,,PD0001588
FBREP,350,EMPA,EMPACAR,1,,PD0002309
FBREP,271,EMPA,EMPACAR,3,,PD0001788
FBREP,151,EMPA,EMPACAR,1,,PD0001635E
FBREP,371,EMPA,EMPACAR,1,,LA00084-1
FBREP,369,EMPA,EMPACAR,1,,PD0002371
FBREP,261,EMPA,EMPACAR,2,,0206317017
FBREP,426,EMPA,EMPACAR,1,,PD0002586
FBREP,379,EMPA,EMPACAR,1,,PD0002496
FBREP,134,EMPA,EMPACAR,5,,1ARU000003
FBREP,231,EMPA,EMPACAR,2,5.1).VERIFICAR COMPONENTES.,13001692
FBREP,374,EMPA,EMPACAR,4,,19619
FBREP,15,EMPA,EMPACAR,1,,CBT8U7ZZ
FBREP,425,EMPA,EMPACAR,1,,PD0002585
FBREP,315,EMPA,EMPACAR,1,,1ACI000009
FBREP,168,EMPA,EMPACAR,1,,PD0001788H
FBREP,157,EMPA,EMPACAR,1,,PD0001788H
FBREP,473,EMPA,EMPACAR,1,,30607413
FBREP,442,EMPA,EMPACAR,1,NOTA: LAS TUERCAS LLEGAN DIRECTAMENTE DONDE EL CLIENTE,PD0002979
FBREP,423,EMPA,EMPACAR,6,,PD000814
FBREP,402,EMPA,EMPACAR,3,,30351506
FBREP,412,EMPA,EMPACAR,2,,30392656
FBREP,408,EMPA,EMPACAR,1,"NOTA:
•OP TIPO PROYECTO
•CANTIDADES SEGÚN PLANO
•ESTA OP TIENE CONSOLIDADO TODAS LAS PIEZAS QUE SE REQUIERE PARA LA FABRICACIÓN COMPLETA DE LAS HOJAS RECLAMADORAS
•SI LA OP NO ESPECIFICA ALGÚN PROCESO QUE NO ESTE CONTEMPLADA EN LA ORDEN, LO PUEDEN REALIZAR POR UNA ACTIVIDAD NO PLANEADA.",PD00021991
FBREP,63,EMPA,EMPACAR,1,,PD0001754
FBREP,482,EMPA,EMPACAR,1,"SACAR DEL ALMACEN.

",PD0002689
FBREP,198,EMPA,EMPACAR,1,"2.1).VERIFICAR QUE TODOS LOS COMPONENTES ESTEN COMPLETOS
",PD198313
FBREP,155,EMPA,EMPACAR,1,,PD0001635F
FBREP,388,EMPA,EMPACAR,3,,1100032312
FBREP,359,EMPA,EMPACAR,4,,6352045180
FBREP,330,EMPA,EMPACAR,4,,1000151929
FBREP,428,EMPA,EMPACAR,2,,PD0002355H
FBREP,227,EMPA,EMPACAR,1,,PD0002129
FBREP,148,EMPA,EMPACAR,1,,00004196
FBREP,279,EMPA,EMPACAR,1,,PD02163-3A
FBREP,380,EMPA,EMPACAR,1,,PD0002497
FBREP,457,EMPA,EMPACAR,6,,30169435
FBREP,174,EMPA,EMPACAR,2,,PD0001635
FBREP,270,EMPA,EMPACAR,6,,6000036
FBREP,424,EMPA,EMPACAR,1,,PD0002581
FBREP,458,EMPA,EMPACAR,13,,30413868
FBREP,479,EMPA,EMPACAR,9,,1ACI000004
FBREP,387,EMPA,EMPACAR,1,SE DEBE DESPACHAR CON LOS PD 29147 Y 29342,PD02599
FBREP,25,EMPA,EMPACAR,1,,PD0001806
FBREP,107,EMPA,EMPACAR,1,,PD0001920
FBREP,49,EMPA,EMPACAR,4,,1480738
FBREP,390,EMPA,EMPACAR,12,,10020267
FBREP,303,EMPA,EMPACAR,1,,PD0002323
FBREP,460,EMPA,EMPACAR,3,,R1487E
FBREP,36,AVEL,AVELLANAR,1,1X45º,PD01337A
FBREP,112,AVEL,AVELLANAR,1,"
",PD0001920E
FBREP,297,AVEL,AVELLANAR,2,,1ACI010004
FBREP,471,AVEL,AVELLANAR,5,AVELLANAR,R1487C
FBREP,401,AVEL,AVELLANAR,2,,4010593B
FBREP,351,AVEL,AVELLANAR,2,AVELLANAR AMBOS LADOS,PD0002309A
FBREP,218,AVEL,AVELLANAR,2,,1495604C
FBREP,458,AVEL,AVELLANAR,13,"AVELLAN 1X45º
",30413868
FBREP,458,AVEL,AVELLANAR,12,"AVELLAN 1X45º
",30413868
FBREP,387,AVEL,AVELLANAR,1,AVELLANAR.,PD02599
FBREP,53,AVEL,AVELLANAR,2,,1480738E
FBREP,98,AVEL,AVELLANAR,2,AVELLANAR AMBOS LADOS X  EL LADO DONDE SALE EL PUNZON,5860012237
FBREP,24,AVEL,AVELLANAR,1,SOLO SI ES NECESARIO.,PD0001636B
FBREP,382,AVEL,AVELLANAR,1,AVELLANAR ,304499572A
FBREP,42,AVEL,AVELLANAR,1,1X45º,PD01336A
FBREP,89,AVEL,AVELLANAR,1,,1ACI050002
FBREP,295,AVEL,AVELLANAR,3,,1ACI050001
FBREP,415,AVEL,AVELLANAR,1,,30392656D
FBREP,339,AVEL,AVELLANAR,3,-SEGUN PLANO,54987-1G
FBREP,102,AVEL,AVELLANAR,1,,037704A
FBREP,222,AVEL,AVELLANAR,1,,037704A
FBREP,118,AVEL,AVELLANAR,4,,PD0001616D
FBREP,316,AVEL,AVELLANAR,1,,1ACI010003
FBREP,414,AVEL,AVELLANAR,1,,30392656C
FBREP,216,AVEL,AVELLANAR,2,,1495604A
FBREP,178,AVEL,AVELLANAR,1,1X45º,1DCI040006
